Action name, Thread name, Action timestamp
A client was selected from database., http-nio-8080-exec-5, 01.06.2020 01.38.47
A client was logged., http-nio-8080-exec-5, 01.06.2020 01.38.47
All event details were selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.38.48
The number of available seats to an event was selected from database., Thread-4, 01.06.2020 01.38.51
A ticket was added to database., Thread-4, 01.06.2020 01.38.51
The number of available seats to an event was decreased., Thread-4, 01.06.2020 01.38.51
The number of available seats to an event was selected from database., Thread-5, 01.06.2020 01.39.03
A ticket was added to database., Thread-5, 01.06.2020 01.39.03
The number of available seats to an event was decreased., Thread-5, 01.06.2020 01.39.03
The tickets of a client were selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
The details for an event were selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
The details for an event were selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
The details for an event were selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
The details for an event were selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
The details for an event were selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.06
